"agency_name","address","city","email","phone_number","website"
"Innovagroup-Care - Inh. Michaela Noll Personalvermittlung","Am Hehsel 40, (Hummelsbüttel)","Hamburg","","0176 70 86 10 27","http://www.innovagroup.de"
"Pav-Brandenburg Personalvermittlung","Straße der DSF 12","Welzow","","035751 39 90 08",""
"Rehbein Personal-Dienst Harald Personalvermittlung","Wandsbeker Chaussee 104, (Eilbek)","Hamburg","","",""
"Rudolph Gerlinde Personalvermittlung","Hundsburgallee 10, (Schmarl)","Rostock","","0381 3 75 07 46",""
"afz - Personalvermittlung und Service GmbH","Gartenstr. 14, (Brendlorenzen)","Bad Neustadt","","09771 6 35 48 20",""
"afz Personalvermittlung und Service GmbH","Würzburger Str. 152, (Innenstadt)","Aschaffenburg","","06021 4 49 69 44",""
"Arbeits-Personalvermittlung Ralf Leps Arbeitsvermittlung","Ackerstr. 9, (Mitte)","Berlin","","030 27 59 63 44",""
"Arbeits-Personalvermittlung Ralf Leps Arbeitsvermittlung","Ackerstr. 9, (Mitte)","Berlin","","",""
"HPI Unternehmensberatung u. Personalvermittlung Unternehmensberatung","Marzahner Promenade 25, (Marzahn)","Berlin","","030 24 53 58 06",""
"ABI Betrieb- Personalmanagement Personalvermittlung","Leipziger Str. 37","Köthen (Anhalt)","","03496 51 28 06",""
"Agentur Jams4 Personalvermittlung","Bregstr. 17A","Hüfingen","","0771 1 58 88 66",""
"Alfa-Care Personalvermittlung","Hirschplatz 3, (Faurndau)","Göppingen","","07161 2 90 02 04",""
"APL PersonalService GmbH Personalvermittlung Zeitarbeit","Belderberg 24, (Zentrum)","Bonn","","0228 9 81 18 10",""
"Auer Personalvermittlung","Bahnhofstr. 24C","Marzling","","08161 4 92 22 45",""
"B & W Personal GmbH Personalvermittlung,Personalleasing Personaldienstleistungen","Schillerplatz 3","Nürtingen","","",""
"Büroservice und Personalvermittlung Kornelia Krahl","Hintergasse 17","Teistungen","","",""
"BWF-Personalvermittlung GbR","Zülpicher Str. 1","Düren","","02421 9 39 42 00",""
"Ergi-Personalvermittlung","Nickelstr. 19, (Lintel)","Rheda-Wiedenbrück","","05242 9 64 96 88",""
"ewiko Personal GmbH Personalvermittlung","Walter-Meckauer-Str. 33A","Köln","","0221 9 97 88 09-0",""
"Inside Personalvermittlung Arbeitsvermittlung","Nürnberger Str. 31, (Innenstadt)","Fürth","","0911 1 20 67 47",""
"JOY Consulting GmbH Personalvermittlung","Rathausplatz 12","Bad Homburg v. d. Höhe","","06172 18 02 28",""
"Lattner Personalvermittlung","Braunschweiger Str. 11","Burgdorf","","05136 9 20 45 37",""
"Lurtz Daniela Unternehmensberatung und Personalvermittlung","Speyerer Str. 67","Limburgerhof","","06236 4 62 07 11",""
"MaSu Ltd. Personalvermittlung","Dörnbergstr. 6, (Weimar)","Ahnatal","","0156 01 56 78 21 23 14",""
"MK Personalvermittlung GmbH","Fabrikstr. 10","Verden (Aller)","","04231 9 04 69 67","http://www.mk-pv.de"
"MME Personalvermittlung","Gerhart-Hauptmann-Weg 8","Selb","","09287 80 02 94",""
"MPV Maurer Personalvermittlung","","Leinfelden-Echterdingen","","0711 7 58 54 50",""
"next level IT-Personalberatung Personalvermittlung","Siegburger Str. 229B, (Deutz)","Köln","","0221 9 98 99 10",""
"PAPV Merseburg Priv. Arbeits-und Personalvermittlung","Oberaltenburg 3","Merseburg (Saale)","","03461 2 76 86 72",""
"Pas Personal-Auswahl-Service Personalvermittlung, Habekost Helga Susanne","Ramdohrstr. 7","Celle","","05141 95 12 90",""
"PEB Personalvermittlung für Hoteliere und Gastronomie Büro München","","München","","0180 5 73 26 83",""
"Personalvermittlung Apel","August-Bebel-Ring 27, (Niedersachswerfen)","Harztor","","",""
"Personalvermittlung Apel Thomas","August-Bebel-Ring 27, (Niedersachswerfen)","Harztor","","036331 5 04 26",""
"Personalvermittlung First Aid","Konrad-Adenauer-Str. 159","Geilenkirchen","","02451 4 09 81 48",""
"Personalvermittlung für Hotelfachleute Marie-Louise Rubner","Gabriel-Max-Str. 49, (Harlaching)","München","","089 17 99 82 10",""
"Personalvermittlung Hannover","Pastor-Badenhop-Weg 14","Burgwedel","","05139 98 06 04","http://www.personalvermittlung-hannover.de/impressum.php"
"Personalvermittlung Saller GmbH","Kuckucksweg 11","Leipzig","","0341 5 21 55 70",""
"Pharma Personal Personalvermittlung","Siebenquellenweg 10","Geislingen an der Steige","","07331 68 05 46",""
"Pharma Personal Personalvermittlung","Siebenquellenweg 10","Geislingen an der Steige","","",""
"Pintaric Goran Personalvermittlung","Unterstrahlbach 9, (Unterstrahlbach)","Neustadt a.d.Aisch","","09161 8 75 57 84",""
"PRZ Peters Personal GmbH Personalvermittlung","Güterbahnhofstr. 6","Glauchau","","03763 41 81 87-0",""
"Rieger Karl-Eugen Zeitarbeit und Personalvermittlung","Bahnhofstr. 3","Nürtingen","","07022 9 32 30-0",""
"Schlegel, Personalvermittlung","","","","",""
"SI Personalservice GmbH Personalvermittlung","Eisenbahnstr. 41, (Innenstadt)","Kaiserslautern","","0631 41 47 46 41",""
"Start4Work Personalvermittlung","Markt 2","Olbernhau","","037360 68 99 37",""
"Vornkahl Ralf Personalberatung Personalvermittlung","Holunderweg 9, (Garbenteich)","Pohlheim","","06404 5 09 90 03",""
"Workstation AG Personalvermittlung","Kleiststr. 35, (Schöneberg)","Berlin","","030 7 89 59 07 11",""
"Wussack Kai Personalvermittlung Fietze","Kamenzer Bogen 1","Hoyerswerda","","03571 60 93 65",""
"Zammit & Associates GmbH Personalvermittlung","Fraasenweg, (Sandershausen)","Niestetal","","0561 57 46 92 85",""
"Bobach Service & Personal GmbH","Reichspräsidentenstr. 21, (Holthausen)","Mülheim an der Ruhr","","0208 3 01 66 78",""
"Di Tec Ges. f. Zeitarbeit Personal- u. Büromanagement mbH Personalagentur","Kaulbachstr. 4, (Holsterhausen)","Essen","","0201 8 30 93 13",""
"Faber & Faber GmbH","Auf dem Löttringsen 18, (Evingsen)","Altena","","02352 3 38 03 01",""
"Fit4retail GmbH","Wulbern 9, (Stockum)","Werne","","02389 9 59 36 17",""
"GAB GmbH Lottner","Weseler Str. 20, (Marxloh)","Duisburg","","0203 57 03 34 53",""
"Gerhard Grimm GmbH & Co. KG","An den Sportstätten 1, (Mitte)","Mülheim an der Ruhr","","0208 43 91 58 44",""
"j.i.t. Personalservice & Logistics GmbH","Römerstr. 18, (Bockum-Hövel)","Hamm","","02381 9 87 70 40",""
"Kellman K. Personalberatung","Halterner Str. 260, (Sinsen-Lenkerbeck)","Marl","","02365 8 21 44",""
"Montan Personaldienst/Industrieservice GmbH Personaldienstleistungen","Körnerstr. 82B, (Mittelstadt)","Hagen","","02331 3 76 09-0",""
"Mypegasus GmbH Personaldienstleistungen","","","","0231 10 87 75 42",""
"Personaldienstleistung Heise Zeitarbeit","Schöltges Hof 41, (Dümpten)","Mülheim an der Ruhr","","0208 4 44 95 00",""
"Prinz & Partner Gesellschaft zur Überlassung , von Personal auf Zeit MBH","","Lünen","","02306 9 10 38 38",""
"SL Personaldienstleistungs- und Beratungs GmbH","Heroldstr. 9, (Holthausen)","Herne","","02323 1 47 79-0",""
"Velox GmbH für Dienstleistungen","Mauerstr. 95","Lünen","","02306 9 80 95-0",""
"Rent a Fischer","Heisterkamp 4, (Westerfeld)","Hemmingen","","0511 95 56 30 19","https://rent-a-fischer.de"
"Kangaroo Personal-Dienstleistungen GmbH","Lövenicher Str. 6, (Baal)","Hückelhoven","","02435 9 80 68-0","http://www.kangaroo.de"
"Gesamthafenbetriebsverein im Lande Bremen e.V.","Franziusstr. 79, (Überseehafen)","Bremerhaven","","0471 9 44 56-0",""
"PLSH Personal-Logistik-Service","Styrumstr. 2","Bruchsal","","07251 9 32 55-0",""
"PSA Ges. für Personaldienstleistungen mbH","Bessemerstr. 1, (Schinkel)","Osnabrück","","0541 4 08 90 01",""
"Schmidt Personalservice UG","Marktstr. 3, (Innenstadt)","Rheine","","05971 9 14 15 68",""
"Sky Personal Inh. Alexander Geworsky Personaldienstleistungen","Neustädter Str. 20, (Innenstadt)","Bielefeld","","0521 58 80 97-0",""
"Time Work Personaldienstleistungen GmbH","Puschkinstr. 51","Eilenburg","","03423 7 00 97 07",""
"Jobcenter Kreis Heinsberg Nebenstelle Erkelenz","Hermann-Josef-Gormanns-Str. 14-16","Erkelenz","","02431 97 37-0",""
"Jobcenter Kreis Heinsberg","Schafhausener Str. 50","Heinsberg","","02452 97 62-0",""
"TERTIA Berufsförderung","Bürgermeister-Smidt-Str. 9, (Mitte)","Bremerhaven","","0471 97 24 78 40",""
"Augustin & Holz Service GbR","Prenzlauer Str. 3","Gramzow","","039861 6 04-0",""
"Augustin Service GmbH","Seeweg 1","Grünow","","039857 39 00 08",""
"Eß Gunter Bau- und Industriemaschinen","Forstweg 78, (Harksheide)","Norderstedt","","040 5 25 20 01",""
"Eß Gunter, Bau- & Industrie-Vertretungen, Baumaschinen-Einsatzvermittlungen","Forstweg 78, (Harksheide)","Norderstedt","","040 52 11 23-0",""
"Experts & Talents Hamburg","Schloßstr. 8a","Hamburg","","040 8 79 35 03-0","http://www.experts-talents.de"
"Gramkow Marianne Jobagentur","","","","0162 4 74 94 81",""
"Job Agentur 24","Gerhart-Hauptmann-Str. 15, (Schmellwitz)","Cottbus","","0355 4 94 81 13",""
"KB-Wirtschaftsberatungs GmbH","Spaldingstr. 210, (Hammerbrook)","Hamburg","","040 32 02 56-0","http://job-partner-hamburg.de"
"Ländliche Arbeitsförderung Prenzlau e.V.","Franz-Wienholz-Str. 29","Prenzlau","","03984 83 57 82-0",""
"Manforce Personalleasing GmbH","Chausseestr. 84, (Deutsch Wusterhausen)","Königs Wusterhausen","","03375 20 97 79",""
"Mela GmbH Schwedt","Passower Chaussee 79, (Neue Zeit)","Schwedt/Oder","","03332 83 54 70",""
"MONTIS Personaldienstleistungen","Ringstr. 13, (Neue Zeit)","Schwedt/Oder","","03332 83 78 51",""
"Neumann Eva","Schillerstr. 15","Neuenhagen bei Berlin","","03342 20 10 02",""
"PmCP Personalmanagement","Skadower Weg 40, (Sielow)","Cottbus","","0355 86 18 47",""
"Stegmed GmbH","Alter Fischmarkt 11, (Altstadt)","Hamburg","","040 5 48 07 72-0","http://www.stegmed.de"
"Westphal & Oehlckers GmbH Personalservice","Thilestr. 9","Frankfurt (Oder)","","0335 5 00 15 95",""
"A P M S Alpha Planungs- und Montageservice GmbH","Königsbrücker Str. 69, (Äußere Neustadt)","Dresden","","0351 5 63 44 30","http://www.apmsgmbh.de"
